job_id	title	company	city	salary_low	salary_high	edu	exp	tags	category	company_tier	desc	publish_time
	Java开发工程师	新浪	重庆	9	15	硕士	1-3年	TensorFlow;Linux;Python	后端开发	头部大厂	"负责Java开发工程师相关的系统设计和开发工作
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题

任职要求：
1-3年以上相关工作经验
具备良好的沟通能力和团队协作精神
硕士及以上学历，计算机相关专业优先
具备良好的编程基础和算法能力"	2026-02-28
	媒介专员	大华股份	杭州	8	14	大专	1-3年	市场调研;公关;品牌推广;BD	市场推广	中型企业	"组织市场活动和品牌宣传
负责媒介专员相关的市场推广工作
制定市场推广策略和计划

任职要求：
具备市场策划和执行能力
具备良好的商务谈判能力
有相关行业资源者优先
大专及以上学历"	2026-02-11
	市场专员	旷视科技	西安	7	11	硕士	不限	品牌推广;渠道拓展;市场调研	市场推广	中型企业	"拓展市场渠道和合作伙伴
负责市场专员相关的市场推广工作
组织市场活动和品牌宣传

任职要求：
硕士及以上学历
熟悉各类营销渠道和推广方式
具备市场策划和执行能力
不限以上市场推广经验"	2026-02-14
	运营经理	京东	天津	6	10	硕士	不限	数据分析;活动策划;SEO;SEM	运营	头部大厂	"维护用户关系，提升用户活跃度
制定运营策略和执行计划
分析运营数据，优化运营效果

任职要求：
具备数据分析能力和运营思维
硕士及以上学历
不限以上运营经验
具备良好的文案写作能力"	2026-02-09
	后端开发工程师	平安科技	青岛	5	8	不限	不限	大数据;Hadoop;Scikit-learn;Git;React;MySQL	前端开发	中型企业	"参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验
编写高质量、可维护的代码

任职要求：
具备良好的沟通能力和团队协作精神
有大型项目经验者优先
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具"	2026-02-16
	运营经理	美团	深圳	13	22	不限	5-10年	数据分析;SEO;新媒体;活动策划	运营	头部大厂	"维护用户关系，提升用户活跃度
负责运营经理相关的运营工作
制定运营策略和执行计划

任职要求：
熟悉新媒体运营和内容策划
具备良好的文案写作能力
有成功运营案例者优先
具备数据分析能力和运营思维"	2026-02-26
	人力资源	蚂蚁集团	天津	5	9	不限	3-5年	绩效考核;薪酬管理;招聘;组织管理;培训;Excel	职能管理	头部大厂	"负责人力资源相关工作
整理和归档相关文件资料
协调各部门之间的沟通

任职要求：
工作认真负责，细致耐心
有相关行业经验者优先
3-5年以上相关工作经验
不限及以上学历"	2026-02-23
	平面设计	腾讯	苏州	25	40	硕士	5-10年	Figma;Photoshop;Illustrator;Adobe XD;C4D	UI设计	头部大厂	"负责平面设计相关的设计工作
与产品、开发团队协作
持续优化设计质量和用户体验

任职要求：
具备良好的沟通理解能力
5-10年以上设计经验
有优秀作品集者优先
具备良好的审美能力和创意思维"	2026-02-19
	动效设计师	宁德时代	苏州	15	25	博士	1-3年	C4D;3D Max;After Effects;Sketch;Figma	UI设计	大型企业	"持续优化设计质量和用户体验
与产品、开发团队协作
负责动效设计师相关的设计工作

任职要求：
1-3年以上设计经验
有优秀作品集者优先
博士及以上学历，设计相关专业优先
具备良好的沟通理解能力"	2026-03-06
	视觉设计	百度	北京	7	12	大专	不限	3D Max;Photoshop;Adobe XD	UI设计	头部大厂	"根据需求进行创意设计和视觉表现
制作设计稿和交互原型
与产品、开发团队协作

任职要求：
熟练使用设计软件和工具
不限以上设计经验
具备良好的沟通理解能力
具备良好的审美能力和创意思维"	2026-02-05
	UX设计师	滴滴	南京	12	19	博士	1-3年	数据分析;Axure;PRD文档;产品设计;Figma	UI设计	头部大厂	"负责UX设计师的产品规划和设计
协调开发、设计、测试等团队资源
编写产品需求文档（PRD）

任职要求：
具备良好的产品思维和用户洞察力
博士及以上学历
1-3年以上产品经理经验
具备优秀的沟通协调能力"	2026-02-28
	市场经理	京东	杭州	20	32	博士	1-3年	品牌推广;渠道拓展;BD	市场推广	头部大厂	"负责市场经理相关的市场推广工作
分析市场动态和竞争对手
组织市场活动和品牌宣传

任职要求：
1-3年以上市场推广经验
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
有相关行业资源者优先"	2026-02-28
	市场专员	优酷	武汉	19	31	硕士	5-10年	市场调研;营销策划;公关;渠道拓展;品牌推广;BD	市场推广	中型企业	"拓展市场渠道和合作伙伴
负责市场专员相关的市场推广工作
组织市场活动和品牌宣传

任职要求：
具备良好的商务谈判能力
熟悉各类营销渠道和推广方式
5-10年以上市场推广经验
硕士及以上学历"	2026-02-04
	产品经理	搜狐	苏州	4	7	大专	不限	产品设计;Figma;PRD文档;Axure	产品经理	头部大厂	"跟踪产品上线后的数据表现
编写产品需求文档（PRD）
进行用户调研和需求分析

任职要求：
不限以上产品经理经验
具备良好的产品思维和用户洞察力
有相关行业产品经验者优先
熟练使用Axure、Figma等设计工具"	2026-02-22
	内容运营	联想	成都	3	5	大专	应届生	用户增长;社群运营;SEM	运营	头部大厂	"维护用户关系，提升用户活跃度
分析运营数据，优化运营效果
负责内容运营相关的运营工作

任职要求：
具备数据分析能力和运营思维
大专及以上学历
应届生以上运营经验
熟悉新媒体运营和内容策划"	2026-02-25
	3D设计师	比亚迪	杭州	6	10	不限	不限	Illustrator;After Effects;Sketch;Photoshop;Adobe XD	UI设计	中型企业	"持续优化设计质量和用户体验
根据需求进行创意设计和视觉表现
与产品、开发团队协作

任职要求：
具备良好的审美能力和创意思维
具备良好的沟通理解能力
不限以上设计经验
有优秀作品集者优先"	2026-02-24
	用户运营	美团	南京	5	9	硕士	应届生	内容策划;SEM;数据分析;用户增长;新媒体	运营	头部大厂	"制定运营策略和执行计划
策划和执行线上线下活动
分析运营数据，优化运营效果

任职要求：
有成功运营案例者优先
熟悉新媒体运营和内容策划
硕士及以上学历
具备良好的文案写作能力"	2026-03-04
	用户运营	华为	西安	11	18	本科	5-10年	内容策划;数据分析;用户增长;新媒体;SEM	运营	头部大厂	"分析运营数据，优化运营效果
策划和执行线上线下活动
维护用户关系，提升用户活跃度

任职要求：
有成功运营案例者优先
5-10年以上运营经验
具备良好的文案写作能力
本科及以上学历"	2026-02-09
	UI设计师	搜狐	青岛	18	29	硕士	5-10年	数据分析;PRD文档;产品设计	UI设计	头部大厂	"协调开发、设计、测试等团队资源
进行用户调研和需求分析
负责UI设计师的产品规划和设计

任职要求：
熟练使用Axure、Figma等设计工具
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力
硕士及以上学历"	2026-02-27
	品牌经理	商汤科技	杭州	10	16	大专	3-5年	渠道拓展;BD;公关;品牌推广;媒介投放;市场调研	市场推广	大型企业	"制定市场推广策略和计划
拓展市场渠道和合作伙伴
负责品牌经理相关的市场推广工作

任职要求：
大专及以上学历
具备良好的商务谈判能力
熟悉各类营销渠道和推广方式
3-5年以上市场推广经验"	2026-02-11
	平面设计	360	武汉	6	10	不限	1-3年	Figma;Sketch;After Effects	UI设计	头部大厂	"负责平面设计相关的设计工作
制作设计稿和交互原型
与产品、开发团队协作

任职要求：
具备良好的审美能力和创意思维
不限及以上学历，设计相关专业优先
有优秀作品集者优先
熟练使用设计软件和工具"	2026-02-25
	财务专员	海康威视	西安	4	6	本科	1-3年	Excel;薪酬管理;组织管理;招聘	职能管理	大型企业	"整理和归档相关文件资料
完成上级交办的其他任务
负责财务专员相关工作

任职要求：
熟练使用办公软件
工作认真负责，细致耐心
具备良好的沟通协调能力
1-3年以上相关工作经验"	2026-02-20
	UI设计	美团	长沙	4	8	本科	不限	Illustrator;C4D;After Effects;Sketch;3D Max	UI设计	头部大厂	"根据需求进行创意设计和视觉表现
持续优化设计质量和用户体验
负责UI设计相关的设计工作

任职要求：
本科及以上学历，设计相关专业优先
不限以上设计经验
熟练使用设计软件和工具
具备良好的审美能力和创意思维"	2026-02-07
	出纳	云从科技	广州	23	38	博士	5-10年	培训;沟通协调;薪酬管理	职能管理	中型企业	"协助部门完成日常管理工作
完成上级交办的其他任务
整理和归档相关文件资料

任职要求：
工作认真负责，细致耐心
熟练使用办公软件
博士及以上学历
具备良好的沟通协调能力"	2026-02-27
	BD经理	平安科技	西安	14	23	不限	10年以上	营销策划;BD;媒介投放;市场调研;公关;渠道拓展	市场推广	中型企业	"组织市场活动和品牌宣传
拓展市场渠道和合作伙伴
负责BD经理相关的市场推广工作

任职要求：
有相关行业资源者优先
具备市场策划和执行能力
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力"	2026-02-27
	财务专员	平安科技	广州	14	23	硕士	3-5年	绩效考核;培训;薪酬管理;沟通协调	职能管理	中型企业	"协助部门完成日常管理工作
负责财务专员相关工作
完成上级交办的其他任务

任职要求：
熟练使用办公软件
具备良好的沟通协调能力
有相关行业经验者优先
3-5年以上相关工作经验"	2026-03-05
	3D设计师	海尔	北京	17	28	不限	5-10年	C4D;After Effects;Figma;Adobe XD;Illustrator	UI设计	中型企业	"与产品、开发团队协作
根据需求进行创意设计和视觉表现
持续优化设计质量和用户体验

任职要求：
熟练使用设计软件和工具
有优秀作品集者优先
不限及以上学历，设计相关专业优先
5-10年以上设计经验"	2026-02-24
	市场经理	云从科技	苏州	4	7	不限	应届生	品牌推广;渠道拓展;媒介投放	市场推广	中型企业	"制定市场推广策略和计划
组织市场活动和品牌宣传
负责市场经理相关的市场推广工作

任职要求：
不限及以上学历
具备市场策划和执行能力
熟悉各类营销渠道和推广方式
应届生以上市场推广经验"	2026-02-28
	品牌经理	美团	长沙	17	27	博士	3-5年	公关;市场调研;品牌推广	市场推广	头部大厂	"负责品牌经理相关的市场推广工作
分析市场动态和竞争对手
组织市场活动和品牌宣传

任职要求：
3-5年以上市场推广经验
博士及以上学历
有相关行业资源者优先
具备良好的商务谈判能力"	2026-03-02
	视觉设计	快手	南京	13	21	硕士	3-5年	Sketch;After Effects;Photoshop	UI设计	头部大厂	"持续优化设计质量和用户体验
负责视觉设计相关的设计工作
根据需求进行创意设计和视觉表现

任职要求：
具备良好的沟通理解能力
熟练使用设计软件和工具
有优秀作品集者优先
具备良好的审美能力和创意思维"	2026-02-28
